buyer-id	government-organisation
222254	
222269	
222304	
222309	
222313	
222314	
222359	
222392	
222410	
222431	
222450	
222451	
222468	
222486	
222487	
222488	
222497	
222505	
222508	
222573	
222590	
222619	PB290
222622	
222651	
222652	
222653	
222654	
222655	
222679	
222683	
222700	
222738	
222743	
222765	PB1093
222813	
222827	
222841	
222855	
222888	
222912	
222913	
222939	
222943	
222945	
222949	
222951	
222952	
222953	
222956	
223027	
223031	
223044	
223047	
223049	
223074	
223075	
223092	
223097	
223121	
223129	
223154	
223209	
223219	
223227	
223236	
223278	
223318	
223364	
223423	
223431	
223433	
223441	
223455	
223460	
223467	
223472	
223476	OT547
223490	
223556	EA42
223613	
223642	
223657	
223709	
223732	OT1056
223739	
223741	
223748	
223763	
223764	
223771	
223824	
223825	
223888	
223901	
223908	
223933	
223972	
223986	
223988	
224046	
224059	
224128	
224131	
224141	
224145	
224156	
224161	
224194	
224202	
224215	
224253	
224293	
224326	
224331	
224340	
224346	
224390	
224397	EA242
224413	
224461	
224478	
224512	
224530	
224541	
224575	
224614	
224682	
224686	
224694	
224695	
224696	PB264
224744	
224767	
224772	
224786	
224804	
224884	
224912	
224927	
224928	
224932	
224964	
224978	
224987	
225034	
225036	EA32
225039	
225058	
225145	
225150	
225151	
225152	
225205	
225209	
225230	
225276	
225298	
225306	
225321	
225342	PB308
225367	
225369	
225372	
225383	
225387	
225393	
225407	
225491	
225510	
225515	
225518	
225536	
225547	
225581	
225584	
225590	
225597	
225606	
225611	
225617	
225622	
225646	
225649	
225666	
225715	
225743	OT216
225787	
225806	
225867	
225918	
225935	
225940	
225960	
225999	
226025	
226076	
226097	
226123	
226145	
226162	
226188	
226224	
226383	
226405	
226436	
226450	
226467	
226483	
226508	
226570	
226573	
226596	
226641	
226650	
226653	
226662	
226677	
226712	
226717	
226725	
226745	
226749	
226797	
226828	PB178
226869	
226883	
226913	
226949	
226964	
226966	
226998	
227011	
227054	
227077	
227169	
227181	
227225	
227334	
227346	
227355	
227370	
227379	
227479	
227505	EA62
227512	
227530	
227538	
227581	
227655	
227656	
227703	
227714	
227738	
227752	
227868	
227873	
227877	
227887	
227895	
227926	
227960	
227962	
227978	
228004	
228024	PB251
228028	
228086	
228102	
228220	
228251	
228282	
228287	
228305	
228369	
228378	PB198
228385	
228401	
228430	D117
228549	
228550	
228553	
228564	
228584	
228593	
228630	
228642	PB188
228643	
228681	
228684	
228710	
228737	
228764	
228773	
228789	
228803	
228816	
228820	
228841	
228868	
228872	
228891	
228895	
228907	
228919	
229005	
229057	
229066	PB177
229089	
229093	
229094	
229101	
229103	
229184	
229238	
229263	
229266	
229273	
229278	OT223
229327	
229339	
229385	
229427	
229440	
229442	
229486	
229496	
229513	
229567	
229595	
229648	
229651	PB401
229677	
229727	
229742	
229746	
229784	
229806	PB463
229823	
229880	
229912	
229938	
229991	
230027	
230039	
230042	
230085	
230088	
230148	
230162	
230243	
230282	
230299	
230315	
230357	
230395	
230426	PB481
230470	
230472	
230473	
230475	
230504	
230541	OT205
230579	
230658	
230667	
230734	
230738	
230815	D108
230819	
230832	
230924	
230938	
230951	
231010	
231021	
231090	
231132	
231138	
231168	
231221	
231235	
231239	
231245	
231344	
231348	
231405	
231422	IM320
231454	
231467	
231484	
231518	
231538	
231639	
231644	
231663	
231664	
231671	
231673	
231681	
231710	
231740	
231741	
231836	
231871	OT539
231878	
232019	EA1119
232104	
232126	
232128	
232131	D15
232132	
232133	
232135	
232136	
232138	
232139	D103
232141	
232142	
232143	
232145	
232146	
232147	
232148	
232149	
232150	
232151	
232154	
232155	
232156	EA792
232157	
232158	
232162	
232163	
232164	
232165	
232166	
232168	
232169	
232170	
232171	
232184	
232191	
232215	
232317	
232369	
232418	
232419	
232429	
232434	
232438	
232442	
232486	
232490	
232537	
232553	
232608	
232612	
232614	
232649	
232658	
232669	
232700	
232713	
232714	
232752	
232766	
232796	
232829	
232862	
232905	
232914	
232932	
232935	
232943	
232958	
232962	
232988	
233009	
233017	
233023	
233065	
233072	
233082	
233087	
233090	
233095	
233100	
233112	
233115	
233151	
233155	
233159	
233167	
233170	
233171	
233174	
233177	
233190	
233216	
233219	
233221	
233236	
233247	
233249	
233258	
233260	
233262	
233265	
233268	
233274	
233277	
233309	
233320	
233333	
