government-organisation	abbreviation	government-organisation-type	govuk	name	website	parent-govuks
PB193	NLFAB	Advisory non-departmental public body	nuclear-liabilities-financing-assurance-board	Nuclear Liabilities Financing Assurance Board	https://www.gov.uk/government/organisations/nuclear-liabilities-financing-assurance-board	department-for-business-energy-and-industrial-strategy
PB194	CNPA	Executive non-departmental public body	civil-nuclear-police-authority	Civil Nuclear Police Authority	https://www.gov.uk/government/organisations/civil-nuclear-police-authority	department-for-business-energy-and-industrial-strategy
PB195		Executive non-departmental public body	the-coal-authority	Coal Authority	https://www.gov.uk/government/organisations/the-coal-authority	department-for-business-energy-and-industrial-strategy
PB196	CCC	Executive non-departmental public body	committee-on-climate-change	Committee on Climate Change	https://www.gov.uk/government/organisations/committee-on-climate-change	department-for-business-energy-and-industrial-strategy
PB197	NDA	Executive non-departmental public body	nuclear-decommissioning-authority	Nuclear Decommissioning Authority	https://www.gov.uk/government/organisations/nuclear-decommissioning-authority	department-for-business-energy-and-industrial-strategy
PB198	CCWater	Executive non-departmental public body	consumer-council-for-water	Consumer Council for Water	https://www.gov.uk/government/organisations/consumer-council-for-water	department-for-environment-food-rural-affairs
EA199	EA	Executive non-departmental public body	environment-agency	Environment Agency	https://www.gov.uk/government/organisations/environment-agency	department-for-environment-food-rural-affairs
PB200	GLA	Executive non-departmental public body	gangmasters-licensing-authority	Gangmasters Licensing Authority	https://www.gov.uk/government/organisations/gangmasters-licensing-authority	home-office
PB201	JNCC	Executive non-departmental public body	joint-nature-conservation-committee	Joint Nature Conservation Committee	https://www.gov.uk/government/organisations/joint-nature-conservation-committee	department-for-environment-food-rural-affairs
PB202	Natural England	Executive non-departmental public body	natural-england	Natural England	https://www.gov.uk/government/organisations/natural-england	department-for-environment-food-rural-affairs
OT204	AHDB	Executive non-departmental public body	agriculture-and-horticulture-development-board	Agriculture and Horticulture Development Board	https://www.gov.uk/government/organisations/agriculture-and-horticulture-development-board	department-for-environment-food-rural-affairs
OT205	Seafish	Executive non-departmental public body	sea-fish-industry-authority	Sea Fish Industry Authority	https://www.gov.uk/government/organisations/sea-fish-industry-authority	department-for-environment-food-rural-affairs
PB207	HSE	Executive non-departmental public body	health-and-safety-executive	Health and Safety Executive	https://www.gov.uk/government/organisations/health-and-safety-executive	department-for-work-pensions
PB208	ACP	Advisory non-departmental public body	advisory-committee-on-pesticides	Advisory Committee on Pesticides	https://www.gov.uk/government/organisations/advisory-committee-on-pesticides	department-for-environment-food-rural-affairs
PB209	ACRE	Advisory non-departmental public body	advisory-committee-on-releases-to-the-environment	Advisory Committee on Releases to the Environment	https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment	department-for-environment-food-rural-affairs
PB210	IAAP	Advisory non-departmental public body	independent-agricultural-appeals-panel	Independent Agricultural Appeals Panel	https://www.gov.uk/government/organisations/independent-agricultural-appeals-panel	department-for-environment-food-rural-affairs
PB211	SAC	Advisory non-departmental public body	science-advisory-council	Science Advisory Council	https://www.gov.uk/government/organisations/science-advisory-council	department-for-environment-food-rural-affairs
PB212	VPC	Advisory non-departmental public body	veterinary-products-committee	Veterinary Products Committee	https://www.gov.uk/government/organisations/veterinary-products-committee	department-for-environment-food-rural-affairs
OT214	CGMA	Other	covent-garden-market-authority	Covent Garden Market Authority	https://www.gov.uk/government/organisations/covent-garden-market-authority	department-for-environment-food-rural-affairs
OT216		Other	broads-authority	Broads Authority	https://www.gov.uk/government/organisations/broads-authority	department-for-environment-food-rural-affairs
OT217	DNPA	Other	dartmoor-national-park-authority	Dartmoor National Park Authority	https://www.gov.uk/government/organisations/dartmoor-national-park-authority	department-for-environment-food-rural-affairs
OT219	Exmoor	Other	exmoor-national-park-authority	Exmoor National Park Authority	https://www.gov.uk/government/organisations/exmoor-national-park-authority	department-for-environment-food-rural-affairs
OT220	LDNP	Other	lake-district-national-park-authority	Lake District National Park Authority	https://www.gov.uk/government/organisations/lake-district-national-park-authority	department-for-environment-food-rural-affairs
OT222	NFNPA	Other	new-forest-national-park-authority	New Forest National Park Authority	https://www.gov.uk/government/organisations/new-forest-national-park-authority	department-for-environment-food-rural-affairs
OT223	NYMNP	Other	north-york-moors-national-park	North York Moors National Park Authority	https://www.gov.uk/government/organisations/north-york-moors-national-park	department-for-environment-food-rural-affairs
