government-organisation	name	website	type	start-date	end date
british-pharmacopoeia	British Pharmacopoeia Commission	government/organisations/british-pharmacopoeia	Advisory non-departmental public body		
british-potato-council	British Potato Council	government/organisations/british-potato-council	Other		01/04/2008
british-transport-police-authority	British Transport Police Authority	government/organisations/british-transport-police-authority	Executive non-departmental public body		
broadcasting-standards-commission	Broadcasting Standards Commission	government/organisations/broadcasting-standards-commission	Other		29/12/2003
broads-authority	Broads Authority	government/organisations/broads-authority	Other		
building-regulations-advisory-committee	Building Regulations Advisory Committee	government/organisations/building-regulations-advisory-committee	Advisory non-departmental public body		
building-research-establishment	Building Research Establishment	government/organisations/building-research-establishment	Executive agency		1997
business-development-service	Business Development Service	government/organisations/business-development-service	Other		01/04/2006
buying-solutions	Buying Solutions	government/organisations/buying-solutions	Other		2010-06
cabinet-office	Cabinet Office	government/organisations/cabinet-office	Ministerial department		
cabinet-office-board	Cabinet Office Board	government/organisations/cabinet-office-board	Sub-organisation		
camborne-pool-and-redruth-education-action-zone	"Camborne, Pool and Redruth Education Action Zone"	government/organisations/camborne-pool-and-redruth-education-action-zone	Other		
capacitybuilders	Capacitybuilders	government/organisations/capacitybuilders	Other		31/03/2011
capital-for-enterprise-ltd	Capital for Enterprise Limited	government/organisations/capital-for-enterprise-ltd	Executive non-departmental public body		
care-quality-commission	Care Quality Commission	government/organisations/care-quality-commission	Executive non-departmental public body		
careers-wales	Careers Wales	government/organisations/careers-wales	Other		
central-advisory-committee-on-compensation	Central Advisory Committee on Compensation	government/organisations/central-advisory-committee-on-compensation	Ad-hoc advisory group		
central-advisory-committee-on-pensions-and-compensation	Central Advisory Committee on Pensions and Compensation	government/organisations/central-advisory-committee-on-pensions-and-compensation	Advisory non-departmental public body		
central-arbitration-committee	Central Arbitration Committee	government/organisations/central-arbitration-committee	Tribunal non-departmental public body		
central-office-of-information	Central Office of Information	government/organisations/central-office-of-information	Other		30/12/2011
central-police-training-and-development-authority	Central Police Training and Development Authority	government/organisations/central-police-training-and-development-authority	Other		31/03/2007
central-science-laboratory	Central Science Laboratory	government/organisations/central-science-laboratory	Executive agency		31/03/2009
centre-for-defence-enterprise	Centre for Defence Enterprise	government/organisations/centre-for-defence-enterprise	Sub-organisation		
centre-for-environment-fisheries-and-aquaculture-science	"Centre for Environment, Fisheries and Aquaculture Science"	government/organisations/centre-for-environment-fisheries-and-aquaculture-science	Executive agency		
centre-for-the-protection-of-national-infrastructure	Centre for the Protection of National Infrastructure	government/organisations/centre-for-the-protection-of-national-infrastructure	Other		
certification-officer	Certification Officer	government/organisations/certification-officer	Other		
cesg	CESG	government/organisations/cesg	Sub-organisation		
chancery-division-of-the-high-court	Chancery Division of the High Court	courts-tribunals/chancery-division-of-the-high-court	Court		
channel-4	The Charity Commission	government/organisations/channel-4	Public corporation		
charity-commission	The Charity Commission	government/organisations/charity-commission	Non-ministerial department		
chemical-and-biological-defence-establishment	Chemical and Biological Defence Establishment	government/organisations/chemical-and-biological-defence-establishment	Other		
chevening-foundation	Chevening Scholarship Programme	government/organisations/chevening-foundation	Other		
