government-organisation	name	website	type	start-date	end date
livestock-and-meat-commission-for-northern-ireland	Livestock and Meat Commission for Northern Ireland	government/organisations/livestock-and-meat-commission-for-northern-Ireland	Other		
local-better-regulation-office	Local Better Regulation Office	government/organisations/local-better-regulation-office	Other		01/04/2012
local-government-ombudsman	Local Government Ombudsman	government/organisations/local-government-ombudsman	Other		
london-and-continental-railways-ltd	London and Continental Railways Ltd	government/organisations/london-and-continental-railways-ltd	Public corporation		
london-thames-gateway-development-corporation	London Thames Gateway Development Corporation	government/organisations/london-thames-gateway-development-corporation	Executive non-departmental public body		28/02/2013
lord-chancellors-department	Lord Chancellor's Department	government/organisations/lord-chancellors-department	Ministerial department		12/06/2003
loughs-agency	Loughs Agency	government/organisations/loughs-agency	Other		
low-pay-commission	Low Pay Commission	government/organisations/low-pay-commission	Advisory non-departmental public body		
lyons-inquiry-into-local-government	Lyons Inquiry into Local Government	government/organisations/lyons-inquiry-into-local-government	Other		2007-03
macur-review	Macur Review	government/organisations/macur-review	Other		
marine-accident-investigation-branch	Marine Accident Investigation Branch	government/organisations/marine-accident-investigation-branch	Other		
marine-fisheries-agency	Marine Fisheries Agency	government/organisations/marine-fisheries-agency	Executive agency		01/04/2010
marine-management-organisation	Marine Management Organisation	government/organisations/marine-management-organisation	Executive non-departmental public body		
maritime-and-coastguard-agency	Maritime and Coastguard Agency	government/organisations/maritime-and-coastguard-agency	Executive agency		
marshall-aid-commemoration-commission	Marshall Aid Commemoration Commission	government/organisations/marshall-aid-commemoration-commission	Executive non-departmental public body		
mckay-commission	The McKay Commission	government/organisations/mckay-commission	Other		25/03/2013
meat-and-livestock-commission	Meat and Livestock Commission	government/organisations/meat-and-livestock-commission	Independent monitoring body		01/04/2008
meat-hygiene-service	Meat Hygiene Service	government/organisations/meat-hygiene-service	Executive agency		31/03/2010
medical-research-council	Medical Research Council	government/organisations/medical-research-council	Executive non-departmental public body		
medical-supplies-agency	Medical Supplies Agency	government/organisations/medical-supplies-agency	Executive agency		01/04/2005
medicines-and-healthcare-products-regulatory-agency	Medicines and Healthcare products Regulatory Agency	government/organisations/medicines-and-healthcare-products-regulatory-agency	Executive agency		
mental-health-act-commission	Mental Health Act Commission	government/organisations/mental-health-act-commission	Other		01/04/2009
mercantile-court	Mercantile Court	courts-tribunals/mercantile-court	Court		
met-office	Met Office	government/organisations/met-office	Executive agency		
mid-staffordshire-nhs-foundation-trust-public-inquiry	Mid Staffordshire NHS Foundation Trust Public Inquiry 2013	government/organisations/mid-staffordshire-nhs-foundation-trust-public-inquiry	Other		2013-02
mid-staffordshire-nhs-foundation-trust-public-inquiry-2010	Mid Staffordshire NHS Foundation Trust Public Inquiry 2010	government/organisations/mid-staffordshire-nhs-foundation-trust-public-inquiry-2010	Other		2010-02
migration-advisory-committee	Migration Advisory Committee	government/organisations/migration-advisory-committee	Advisory non-departmental public body		
military-aviation-authority	Military Aviation Authority	government/organisations/military-aviation-authority	Sub-organisation		
milk-development-council	Milk Development Council	government/organisations/milk-development-council	Other		01/04/2008
millennium-commission	Millennium Commission	government/organisations/millennium-commission	Other		30/11/2006
ministry-of-defence	Ministry of Defence	government/organisations/ministry-of-defence	Ministerial department		
ministry-of-defence-police-and-guarding-agency	Ministry of Defence Police and Guarding Agency	government/organisations/ministry-of-defence-police-and-guarding-agency	Executive agency		01/04/2013
ministry-of-justice	Ministry of Justice	government/organisations/ministry-of-justice	Ministerial department		
monitor	Monitor	government/organisations/monitor	Executive non-departmental public body		01/04/2016
monopolies-and-mergers-commission	Monopolies and Mergers Commission	government/organisations/monopolies-and-mergers-commission	Other		01/04/1999
morecambe-bay-investigation	Morecambe Bay Investigation	government/organisations/morecambe-bay-investigation	Other		
mull-of-kintyre-review	Mull of Kintyre Review	government/organisations/mull-of-kintyre-review	Other		2011
museums-libraries-and-archives-council	"Museums, Libraries and Archives Council"	government/organisations/museums-libraries-and-archives-council	Other		31/05/2012
national-army-museum	National Army Museum	government/organisations/national-army-museum	Executive non-departmental public body		
national-biological-standards-board	National Biological Standards Board	government/organisations/national-biological-standards-board	Executive agency		2008-07
national-blood-authority	National Blood Authority	government/organisations/national-blood-authority	Other		30/09/2005
national-care-standards-commission	National Care Standards Commission	government/organisations/national-care-standards-commission	Other		01/04/2004
national-college-for-school-leadership	National College for School Leadership	government/organisations/national-college-for-school-leadership	Executive agency		
national-college-for-teaching-and-leadership	National College for Teaching and Leadership	government/organisations/national-college-for-teaching-and-leadership	Executive agency		
national-counter-terrorism-security-office	National Counter Terrorism Security Office	government/organisations/national-counter-terrorism-security-office	Other		
national-crime-agency	National Crime Agency	government/organisations/national-crime-agency	Non-ministerial department		
national-crime-agency-remuneration-review-body	National Crime Agency Remuneration Review Body	government/organisations/national-crime-agency-remuneration-review-body	Other		
national-crime-squad	National Crime Squad	government/organisations/national-crime-squad	Other		01/04/2006
national-criminal-intelligence-service	National Criminal Intelligence Service	government/organisations/national-criminal-intelligence-service	Executive agency		01/04/2006
national-data-guardian	National Data Guardian	government/organisations/national-data-guardian	Other		
national-dna-database-ethics-group	National DNA Database Ethics Group	government/organisations/national-dna-database-ethics-group	Advisory non-departmental public body		
national-employer-advisory-board	National Employer Advisory Board	government/organisations/national-employer-advisory-board	Advisory non-departmental public body		
national-employment-savings-trust	National Employment Savings Trust (NEST) Corporation	government/organisations/national-employment-savings-trust	Executive non-departmental public body		
national-endowment-for-science-technology-and-the-arts	"National Endowment for Science, Technology and the Arts"	government/organisations/national-endowment-for-science-technology-and-the-arts	Other		closed
national-forest-company	National Forest Company	government/organisations/national-forest-company	Executive non-departmental public body		
national-fraud-authority	National Fraud Authority	government/organisations/national-fraud-authority	Executive agency		31/03/2014
national-gallery	National Gallery	government/organisations/national-gallery	Executive non-departmental public body		
national-heritage-memorial-fund	National Heritage Memorial Fund	government/organisations/national-heritage-memorial-fund	Executive non-departmental public body		
national-information-board	National Information Board	government/organisations/national-information-board	Other		
national-infrastructure-commission	National Infrastructure Commission	government/organisations/national-infrastructure-commission	Other		
national-institute-for-clinical-excellence	National Institute for Health and Care Excellence	government/organisations/national-institute-for-clinical-excellence	Executive non-departmental public body		
national-measurement-and-regulation-office	National Measurement and Regulation Office	government/organisations/national-measurement-and-regulation-office	Executive agency		
national-measurement-office	National Measurement Office	government/organisations/national-measurement-office	Executive agency		closed
national-museums-and-galleries-of-northern-ireland	National Museums and Galleries of Northern Ireland	government/organisations/national-museums-and-galleries-of-northern-Ireland	Other		
national-museums-liverpool	National Museums Liverpool	government/organisations/national-museums-liverpool	Executive non-departmental public body		
national-museums-of-scotland	National Museums of Scotland	government/organisations/national-museums-of-Scotland	Other		
national-offender-management-service	National Offender Management Service	government/organisations/national-offender-management-service	Executive agency		
national-patient-safety-agency	National Patient Safety Agency	government/organisations/national-patient-safety-agency	Executive agency		09/07/2012
national-policing-improvement-agency	National Policing Improvement Agency	government/organisations/national-policing-improvement-agency	Executive agency		2012-12
national-portrait-gallery	National Portrait Gallery	government/organisations/national-portrait-gallery	Executive non-departmental public body		
national-probation-service	National Probation Service	government/organisations/national-probation-service	Other		
national-radiological-protection-board	National Radiological Protection Board	government/organisations/national-radiological-protection-board	Other		01/04/2005
national-records-of-scotland	National Records of Scotland	government/organisations/national-records-of-Scotland	Other		
national-school-of-government	National School of Government	government/organisations/national-school-of-government	Other		
national-security	National security and intelligence	government/organisations/national-security	Sub-organisation		
national-treatment-agency-for-substance-misuse	National Treatment Agency for Substance Misuse	government/organisations/national-treatment-agency-for-substance-misuse	Executive agency		01/04/2013
national-weights-and-measures-laboratory	National Weights and Measures Laboratory	government/organisations/national-weights-and-measures-laboratory	Other		28/06/2007
natural-england	Natural England	government/organisations/natural-england	Executive non-departmental public body		
natural-environment-research-council	Natural Environment Research Council	government/organisations/natural-environment-research-council	Executive non-departmental public body		
natural-history-museum	Natural History Museum	government/organisations/natural-history-museum	Executive non-departmental public body		
natural-resources-institute	Natural Resources Institute	government/organisations/natural-resources-institute	Other		1996-05
natural-resources-wales	Natural Resources Wales	government/organisations/natural-resources-wales	Other		
nature-conservancy-council	Nature Conservancy Council	government/organisations/nature-conservancy-council	Other		1991
new-forest-national-park-authority	New Forest National Park Authority	government/organisations/new-forest-national-park-authority	Other		
new-opportunities-fund	New Opportunities Fund	government/organisations/new-opportunities-fund	Other		30/11/2006
nhs-appointments-commission	NHS Appointments Commission	government/organisations/nhs-appointments-commission	Other		31/10/2012
nhs-blood-and-transplant	NHS Blood and Transplant	government/organisations/nhs-blood-and-transplant	Executive non-departmental public body		
nhs-business-services-authority	NHS Business Services Authority	government/organisations/nhs-business-services-authority	Executive non-departmental public body		
nhs-commissioning-board	NHS England	government/organisations/nhs-commissioning-board	Executive non-departmental public body		
nhs-digital	NHS Digital	government/organisations/nhs-digital	Executive non-departmental public body		
nhs-direct-national-health-service-trust	NHS Direct National Health Service Trust	government/organisations/nhs-direct-national-health-service-trust	Other		closed
nhs-estates	NHS Estates	government/organisations/nhs-estates	Other		30/09/2005
nhs-improvement	NHS Improvement	government/organisations/nhs-improvement	Other		
nhs-information-centre	NHS Information Centre	government/organisations/nhs-information-centre	Other		01/04/2013
nhs-institute-for-innovation-and-improvement	NHS Institute for Innovation and Improvement	government/organisations/nhs-institute-for-innovation-and-improvement	Other		31/03/2013
nhs-litigation-authority	NHS Litigation Authority	government/organisations/nhs-litigation-authority	Executive non-departmental public body		
nhs-logistics-authority	NHS Logistics Authority	government/organisations/nhs-logistics-authority	Other		01/01/2006
nhs-pay-review-body	NHS Pay Review Body	government/organisations/nhs-pay-review-body	Advisory non-departmental public body		
nhs-pensions-agency	NHS Pensions Agency	government/organisations/nhs-pensions-agency	Executive agency		01/04/2006
nhs-professionals	NHS Professionals	government/organisations/nhs-professionals	Other		01/04/2010
nhs-purchasing-and-supply-agency	NHS Purchasing and Supply Agency	government/organisations/nhs-purchasing-and-supply-agency	Executive agency		31/03/2010
nhs-trust-development-authority	NHS Trust Development Authority	government/organisations/nhs-trust-development-authority	Executive non-departmental public body		
nhs-wales-informatics-service	NHS Wales Informatics Service	government/organisations/nhs-wales-informatics-service	Other		
nimrod-review	Nimrod Review	government/organisations/nimrod-review	Other		2009-10
north-east-derbyshire-coalfields-education-action-zone	North East Derbyshire Coalfields Education Action Zone	government/organisations/north-east-derbyshire-coalfields-education-action-zone	Other		30/11/2004
north-east-education-and-library-board	North East Education and Library Board	government/organisations/north-east-education-and-library-board	Other		
north-gillingham-education-action-zone	North Gillingham Education Action Zone	government/organisations/north-gillingham-education-action-zone	Other		09/01/2005
north-islington-education-action-zone	North Islington Education Action Zone	government/organisations/north-islington-education-action-zone	Other		30/11/2004
north-stockton-education-action-zone	North Stockton Education Action Zone	government/organisations/north-stockton-education-action-zone	Other		16/04/2005
north-west-development-agency	North West Development Agency	government/organisations/north-west-development-agency	Executive agency		31/03/2012
north-west-shropshire-education-action-zone	North West Shropshire Education Action Zone	government/organisations/north-west-shropshire-education-action-zone	Other		02/04/2005
north-york-moors-national-park	North York Moors National Park Authority	government/organisations/north-york-moors-national-park	Other		
northampton-county-court-business-centre	Northampton County Court Business Centre	courts-tribunals/northampton-county-court-business-centre	Court		
northern-health-and-social-services-board	Northern Health and Social Services Board	government/organisations/northern-health-and-social-services-board	Other		closed
northern-ireland-audit-office	Northern Ireland Audit Office	government/organisations/northern-Ireland-audit-office	Other		
northern-ireland-authority-for-energy-regulation	Northern Ireland Authority for Energy Regulation	government/organisations/northern-Ireland-authority-for-energy-regulation	Other		
northern-ireland-child-support-agency	Northern Ireland Child Support Agency	government/organisations/northern-Ireland-child-support-agency	Executive agency		
northern-ireland-commissioner-for-children-and-young-people	Northern Ireland Commissioner for Children and Young People	government/organisations/northern-Ireland-commissioner-for-children-and-young-people	Other		
northern-ireland-council-for-the-curriculum-examinations-and-assessment	"Northern Ireland Council for the Curriculum, Examinations and Assessment"	government/organisations/northern-Ireland-council-for-the-curriculum-examinations-and-assessment	Other		
northern-ireland-court-service	Northern Ireland Court Service	government/organisations/northern-Ireland-court-service	Other		
northern-ireland-executive	Northern Ireland Executive	government/organisations/northern-Ireland-executive	Devolved administration		
northern-ireland-health-and-social-services-estates-agency	Northern Ireland Health and Social Services Estates Agency	government/organisations/northern-Ireland-health-and-social-services-estates-agency	Other		
northern-ireland-human-rights-commission	Northern Ireland Human Rights Commission	government/organisations/northern-Ireland-human-rights-commission	Executive non-departmental public body		
northern-ireland-judicial-appointments-commission	Northern Ireland Judicial Appointments Commission	government/organisations/northern-Ireland-judicial-appointments-commission	Other		
northern-ireland-judicial-appointments-ombudsman	Northern Ireland Judicial Appointments Ombudsman	government/organisations/northern-Ireland-judicial-appointments-ombudsman	Other		
northern-ireland-law-commission	Northern Ireland Law Commission	government/organisations/northern-Ireland-law-commission	Other		
northern-ireland-legal-services-commission	Northern Ireland Legal Services Commission	government/organisations/northern-Ireland-legal-services-commission	Other		
northern-ireland-local-government-officers-superannuation-committee	Northern Ireland Local Government Officers' Superannuation Committee	government/organisations/northern-Ireland-local-government-officers-superannuation-committee	Other		
northern-ireland-office	Northern Ireland Office	government/organisations/northern-Ireland-office	Ministerial department		
northern-ireland-ombudsman	Northern Ireland Ombudsman	government/organisations/northern-Ireland-ombudsman	Other		
northern-ireland-police-fund	Northern Ireland Police Fund	government/organisations/northern-Ireland-police-fund	Other		12/04/2010
northern-ireland-policing-board	Northern Ireland Policing Board	government/organisations/northern-Ireland-policing-board	Other		
northern-ireland-practice-and-education-council	Northern Ireland Practice and Education Council	government/organisations/northern-Ireland-practice-and-education-council	Other		
northern-ireland-prison-service	Northern Ireland Prison Service	government/organisations/northern-Ireland-prison-service	Executive agency		
northern-ireland-social-care-council	Northern Ireland Social Care Council	government/organisations/northern-ireland-social-care-council	Other		
northern-ireland-social-security-agency	Northern Ireland Social Security Agency	government/organisations/northern-Ireland-social-security-agency	Executive agency		
northern-ireland-statistics-and-research-agency	Northern Ireland Statistics and Research Agency	government/organisations/northern-Ireland-statistics-and-research-agency	Executive agency		
northern-ireland-tourist-board	Northern Ireland Tourist Board	government/organisations/northern-Ireland-tourist-board	Other		
northern-lighthouse-board	Northern Lighthouse Board	government/organisations/northern-lighthouse-board	Executive non-departmental public body		
northumberland-national-park-authority	Northumberland National Park Authority	government/organisations/Northumberland-national-park-authority	Other		
northwest-business-link	Northwest Business Link	government/organisations/northwest-business-link	Executive agency		23/01/2014
northwest-regional-development-agency	Northwest Regional Development Agency	government/organisations/northwest-regional-development-agency	Executive agency		01/07/2012
ns-i	NS&I	government/organisations/ns-i	Non-ministerial department		
nuclear-decommissioning-authority	Nuclear Decommissioning Authority	government/organisations/nuclear-decommissioning-authority	Executive non-departmental public body		
nuclear-liabilities-financing-assurance-board	Nuclear Liabilities Financing Assurance Board	government/organisations/nuclear-liabilities-financing-assurance-board	Advisory non-departmental public body		
nuclear-research-advisory-council	Nuclear Research Advisory Council	government/organisations/nuclear-research-advisory-council	Advisory non-departmental public body		
ofcom	Ofcom	government/organisations/ofcom	Other		
office-for-budget-responsibility	Office for Budget Responsibility	government/organisations/office-for-budget-responsibility	Executive non-departmental public body		
office-for-criminal-justice-reform	Office for Criminal Justice Reform	government/organisations/office-for-criminal-justice-reform	Other		closed
office-for-disability-issues	Office for Disability Issues	government/organisations/office-for-disability-issues	Sub-organisation		closed
office-for-fair-access	Office for Fair Access	government/organisations/office-for-fair-access	Executive non-departmental public body		
office-for-life-sciences	Office for Life Sciences	government/organisations/office-for-life-sciences	Sub-organisation		
office-for-low-emission-vehicles	Office for Low Emission Vehicles	government/organisations/office-for-low-emission-vehicles	Sub-organisation		
office-for-national-statistics	Office for National Statistics	government/organisations/office-for-national-statistics	Other		
office-for-nuclear-regulation	Office for Nuclear Regulation	government/organisations/office-for-nuclear-regulation	Public corporation		
office-for-tenants-and-social-landlords	Office for Tenants and Social Landlords	government/organisations/office-for-tenants-and-social-landlords	Executive agency		2012
office-of-fair-trading	Office of Fair Trading	government/organisations/office-of-fair-trading	Non-ministerial department		01/04/2014
office-of-financial-sanctions-implementation	Office of Financial Sanctions Implementation	government/organisations/office-of-financial-sanctions-implementation	Sub-organisation		
office-of-hm-paymaster-general	Office of HM Paymaster General	government/organisations/office-of-hm-paymaster-general	Other		01/04/2008
office-of-manpower-economics	Office of Manpower Economics	government/organisations/office-of-manpower-economics	Other		
office-of-rail-and-road	Office of Rail and Road	government/organisations/office-of-rail-and-road	Non-ministerial department		
office-of-rail-regulation	Office of Rail Regulation	government/organisations/office-of-rail-regulation	Non-ministerial department		
office-of-surveillance-commissioners	Office of Surveillance Commissioners	government/organisations/office-of-surveillance-commissioners	Tribunal non-departmental public body		
office-of-tax-simplification	Office of Tax Simplification	government/organisations/office-of-tax-simplification	Sub-organisation		
office-of-telecommunications	Office of Telecommunications	government/organisations/office-of-telecommunications	Other		29/12/2003
office-of-the-advocate-general-for-scotland	Office of the Advocate General for Scotland	government/organisations/office-of-the-advocate-general-for-Scotland	Ministerial department		
office-of-the-chief-electoral-officer-for-northern-ireland	Office of the Chief Electoral Officer for Northern Ireland	government/organisations/office-of-the-chief-electoral-officer-for-northern-Ireland	Other		
office-of-the-children-s-commissioner	Office of the Children's Commissioner	government/organisations/office-of-the-children-s-commissioner	Executive non-departmental public body		
office-of-the-commissioner-for-protection-against-unlawful-industrial-action	Office of the Commissioner for Protection Against Unlawful Industrial Action	government/organisations/office-of-the-commissioner-for-protection-against-unlawful-industrial-action	Other		25/10/1999
office-of-the-commissioner-for-the-rights-of-trade-union-members	Office of the Commissioner for the Rights of Trade Union Members	government/organisations/office-of-the-commissioner-for-the-rights-of-trade-union-members	Other		
office-of-the-data-protection-registrar	Office of the Data Protection Registrar	government/organisations/office-of-the-data-protection-registrar	Other		1998
office-of-the-first-minister-and-deputy-first-minister	Office of the First Minister and Deputy First Minister	government/organisations/office-of-the-first-minister-and-deputy-first-minister	Other		
office-of-the-health-professions-adjudicator	Office of the Health Professions Adjudicator	government/organisations/office-of-the-health-professions-adjudicator	Other		30/06/2012
office-of-the-identity-commissioner	Office of the Identity Commissioner	government/organisations/office-of-the-identity-commissioner	Other		2010-12
office-of-the-immigration-services-commissioner	Office of the Immigration Services Commissioner	government/organisations/office-of-the-immigration-services-commissioner	Executive non-departmental public body		
office-of-the-lay-observer	Office of the Lay Observer	government/organisations/office-of-the-lay-observer	Other		
office-of-the-leader-of-the-house-of-lords	Office of the Leader of the House of Lords	government/organisations/office-of-the-leader-of-the-house-of-lords	Ministerial department		
office-of-the-legal-services-complaints-commissioner	Office of the Legal Services Complaints Commissioner	government/organisations/office-of-the-legal-services-complaints-commissioner	Other		
office-of-the-legal-services-ombudsman	Office of the Legal Services Ombudsman	government/organisations/office-of-the-legal-services-ombudsman	Other		2011
office-of-the-oversight-commissioner	Office of the Oversight Commissioner	government/organisations/office-of-the-oversight-commissioner	Other		31/05/2007
office-of-the-parliamentary-counsel	Office of the Parliamentary Counsel	government/organisations/office-of-the-parliamentary-counsel	Sub-organisation		
office-of-the-police-ombudsman-for-northern-ireland	Office of the Police Ombudsman for Northern Ireland	government/organisations/office-of-the-police-ombudsman-for-northern-Ireland	Other		
office-of-the-public-guardian	Office of the Public Guardian	government/organisations/office-of-the-public-guardian	Executive agency		
office-of-the-registrar-of-consultant-lobbyists	Office of the Registrar of Consultant Lobbyists	government/organisations/office-of-the-registrar-of-consultant-lobbyists	Other		
office-of-the-regulator-of-community-interest-companies	Office of the Regulator of Community Interest Companies	government/organisations/office-of-the-regulator-of-community-interest-companies	Other		
office-of-the-schools-adjudicator	Office of the Schools Adjudicator	government/organisations/office-of-the-schools-adjudicator	Other		
official-solicitor-and-public-trustee	Official Solicitor and Public Trustee	government/organisations/official-solicitor-and-public-trustee	Other		
ofgem	Ofgem	government/organisations/ofgem	Non-ministerial department		
ofqual	Ofqual	government/organisations/ofqual	Non-ministerial department		
ofsted	Ofsted	government/organisations/ofsted	Non-ministerial department		
oftel	Oftel	government/organisations/oftel	Other		2003
ogcbuyingsolutions	OGCbuyingsolutions	government/organisations/ogcbuyingsolutions	Other		15/06/2010
oil-and-gas-authority	Oil and Gas Authority	government/organisations/oil-and-gas-authority	Other		
oil-and-pipelines-agency	The Oil and Pipelines Agency	government/organisations/oil-and-pipelines-agency	Public corporation		
olympic-delivery-authority	Olympic Delivery Authority	government/organisations/olympic-delivery-authority	Executive non-departmental public body		02/12/2014
one-north-east	One North East	government/organisations/one-north-east	Executive agency		30/06/2012
open-public-services	Open Public Services	government/organisations/open-public-services	Sub-organisation		
ordnance-survey	Ordnance Survey	government/organisations/ordnance-survey	Non-ministerial department		
ordnance-survey-of-northern-ireland	Ordnance Survey of Northern Ireland	government/organisations/ordnance-survey-of-northern-Ireland	Executive agency		
parades-commission-for-northern-ireland	Parades Commission for Northern Ireland	government/organisations/parades-commission-for-northern-Ireland	Executive non-departmental public body		
parliamentary-contributory-pension-fund	Parliamentary Contributory Pension Fund	government/organisations/parliamentary-contributory-pension-fund	Other		closed maybe
parole-board	Parole Board	government/organisations/parole-board	Executive non-departmental public body		
parole-commissioners-for-northern-ireland	Parole Commissioners for Northern Ireland	government/organisations/parole-commissioners-for-northern-Ireland	Other		
particle-physics-and-astronomy-research-council	Particle Physics and Astronomy Research Council	government/organisations/particle-physics-and-astronomy-research-council	Other		01/04/2007
passenger-focus	Passenger Focus	government/organisations/passenger-focus	Executive non-departmental public body		closed
patents-court	Patents Court	courts-tribunals/patents-court	Court		
patrick-finucane-review	Patrick Finucane Review	government/organisations/patrick-finucane-review	Other		2015-01
payment-systems-regulator	Payment Systems Regulator	government/organisations/payment-systems-regulator	Other		
peak-district-national-park	Peak District National Park Authority	government/organisations/peak-district-national-park	Other		
pension-disability-and-carers-service	"Pension, Disability and Carers Service"	government/organisations/pension-disability-and-carers-service	Executive agency		
pension-protection-fund	Pension Protection Fund	government/organisations/pension-protection-fund	Public corporation		
pension-protection-fund-ombudsman	Pension Protection Fund Ombudsman	government/organisations/pension-protection-fund-ombudsman	Tribunal non-departmental public body		
pension-service	Pension Service	government/organisations/pension-service	Executive agency		
pensions-ombudsman	Pensions Ombudsman	government/organisations/pensions-ombudsman	Tribunal non-departmental public body		
people-pay-and-pensions-agency	"People, Pay and Pensions Agency"	government/organisations/people-pay-and-pensions-agency	Executive agency		06/07/2011
personal-accounts-delivery-authority	Personal Accounts Delivery Authority	government/organisations/personal-accounts-delivery-authority	Other		05/07/2010
pesticides-safety-directorate	Pesticides Safety Directorate	government/organisations/pesticides-safety-directorate	Other		2008
peterlee-education-action-zone	Peterlee Education Action Zone	government/organisations/peterlee-education-action-zone	Other		09/01/2005
phoenix-sports	Phoenix Sports	government/organisations/phoenix-sports	Other		closed
planning-court	Planning Court	courts-tribunals/planning-court	Court		
planning-inspectorate	Planning Inspectorate	government/organisations/planning-inspectorate	Executive agency		
planning-service	Planning Service	government/organisations/planning-service	Other		
plant-varieties-and-seeds-tribunal	Plant Varieties and Seeds Tribunal	government/organisations/plant-varieties-and-seeds-tribunal	Tribunal non-departmental public body		
plymouth-education-action-zone	Plymouth Education Action Zone	government/organisations/plymouth-education-action-zone	Other		31/12/2003
police-advisory-board-for-england-and-wales	Police Advisory Board for England and Wales	government/organisations/police-advisory-board-for-england-and-wales	Advisory non-departmental public body		
police-arbitration-tribunal	Police Arbitration Tribunal	government/organisations/police-arbitration-tribunal	Tribunal non-departmental public body		closed
police-complaints-authority	Police Complaints Authority	government/organisations/police-complaints-authority	Other		31/03/2004
police-discipline-appeals-tribunal	Police Discipline Appeals Tribunal	government/organisations/police-discipline-appeals-tribunal	Tribunal non-departmental public body		
police-information-technology-organisation	Police Information Technology Organisation	government/organisations/police-information-technology-organisation	Executive agency		31/03/2007
police-negotiating-board	Police Negotiating Board	government/organisations/police-negotiating-board	Advisory non-departmental public body		01/10/2014
police-remuneration-review-body	Police Remuneration Review Body	government/organisations/police-remuneration-review-body	Advisory non-departmental public body		
police-service-of-northern-ireland	Police Service of Northern Ireland	government/organisations/police-service-of-northern-Ireland	Other		
polytechnics-and-colleges-funding-council	Polytechnics and Colleges Funding Council	government/organisations/polytechnics-and-colleges-funding-council	Other		1992
porton-biopharma-limited	Porton Biopharma Limited	government/organisations/porton-biopharma-limited	Other		
postal-services-commission	Postal Services Commission	government/organisations/postal-services-commission	Other		01/10/2011
postgraduate-medical-education-and-training-board	Postgraduate Medical Education and Training Board	government/organisations/postgraduate-medical-education-and-training-board	Other		01/04/2010
prescription-pricing-authority	Prescription Pricing Authority	government/organisations/prescription-pricing-authority	Other		01/04/2006
prime-ministers-office-10-downing-street	"Prime Minister's Office, 10 Downing Street"	government/organisations/prime-ministers-office-10-downing-street	Executive office		
prison-services-pay-review-body	Prison Service Pay Review Body	government/organisations/prison-services-pay-review-body	Advisory non-departmental public body		
prisons-and-probation-ombudsman	Prisons and Probation Ombudsman	government/organisations/prisons-and-probation-ombudsman	Other		
privy-council-office	Privy Council Office	government/organisations/privy-council-office	Other		
probation-board-for-northern-ireland	Probation Board for Northern Ireland	government/organisations/probation-board-for-northern-Ireland	Other		
professional-oversight-board	Professional Oversight Board	government/organisations/professional-oversight-board	Other		02/07/2012
professional-standards-authority-for-health-and-social-care	Professional Standards Authority for Health and Social Care	government/organisations/professional-standards-authority-for-health-and-social-care	Other		
public-accounts-commission	Public Accounts Commission	government/organisations/public-accounts-commission	Other		
public-health-england	Public Health England	government/organisations/public-health-england	Executive agency		
public-health-laboratory-service-board	Public Health Laboratory Service Board	government/organisations/public-health-laboratory-service-board	Executive agency		02/08/2004
public-health-wales	Public Health Wales	government/organisations/public-health-wales	Other		
public-lending-right-office	Public Lending Right Office	government/organisations/public-lending-right-office	Other		01/10/2013
public-prosecution-service-for-northern-ireland	Public Prosecution Service for Northern Ireland	government/organisations/public-prosecution-service-for-northern-Ireland	Other		
pubs-code-adjudicator	Pubs Code Adjudicator	government/organisations/pubs-code-adjudicator	Other		
qualifications-and-curriculum-authority	Qualifications and Curriculum Authority	government/organisations/qualifications-and-curriculum-authority	Executive agency		01/04/2010
qualifications-and-curriculum-development-agency	Qualifications and Curriculum Development Agency	government/organisations/qualifications-and-curriculum-development-agency	Executive agency		01/04/2012
queen-elizabeth-ii-conference-centre	Queen Elizabeth II Conference Centre	government/organisations/queen-elizabeth-ii-conference-centre	Executive agency		
queens-bench-division-of-the-high-court	Queen's Bench Division of the High Court	courts-tribunals/queens-bench-division-of-the-high-court	Court		
queens-harbour-master	Queen's Harbour Master	government/organisations/queens-harbour-master	Sub-organisation		
radioactive-waste-management	Radioactive Waste Management	government/organisations/radioactive-waste-management	Other		
rail-accident-investigation-branch	Rail Accident Investigation Branch	government/organisations/rail-accident-investigation-branch	Other		
railway-heritage-committee	Railway Heritage Committee	government/organisations/railway-heritage-committee	Executive non-departmental public body		01/04/2013
redfern-inquiry	Redfern Inquiry	government/organisations/redfern-inquiry	Other		2010-11
regeneration-investment-organisation	Regeneration Investment Organisation	government/organisations/regeneration-investment-organisation	Sub-organisation		
regulatory-delivery	Regulatory Delivery	government/organisations/regulatory-delivery	Sub-organisation		
regulatory-policy-committee	Regulatory Policy Committee	government/organisations/regulatory-policy-committee	Advisory non-departmental public body		
remploy-ltd	Remploy Ltd	government/organisations/remploy-ltd	Executive non-departmental public body		closed
renewable-fuels-agency	Renewable Fuels Agency	government/organisations/renewable-fuels-agency	Executive agency		01/04/2011
rent-service	Rent Service	government/organisations/rent-service	Executive agency		01/04/2009
reserve-forces-and-cadets-associations	Reserve Forces' and Cadets' Associations	government/organisations/reserve-forces-and-cadets-associations	Other		
reserve-forces-appeal-tribunal	Reserve Forces Appeal Tribunal	courts-tribunals/reserve-forces-appeal-tribunal	Tribunal non-departmental public body		
