government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
labour-relations-agency	Labour Relations Agency	https://www.gov.uk/government/organisations/labour-relations-agency	Executive agency							
lake-district-national-park-authority	Lake District National Park Authority	https://www.gov.uk/government/organisations/lake-district-national-park-authority	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				LDNP		
lammy-review	Lammy Review	https://www.gov.uk/government/organisations/lammy-review	Other							
land-registers-of-northern-ireland	Land Registers of Northern Ireland	https://www.gov.uk/government/organisations/land-registers-of-northern-Ireland	Executive agency							
land-registration-rule-committee	Land Registration Rule Committee	https://www.gov.uk/government/organisations/land-registration-rule-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				LRRC		
land-registry	Land Registry	https://www.gov.uk/government/organisations/land-registry	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				Land Registry		
law-commission	Law Commission	https://www.gov.uk/government/organisations/law-commission	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice						
learning-and-skills-council	Learning and Skills Council	https://www.gov.uk/government/organisations/learning-and-skills-council	Executive agency							1-4-2010
leasehold-advisory-service	Leasehold Advisory Service	https://www.gov.uk/government/organisations/leasehold-advisory-service	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				LEASE		
legal-aid-agency	Legal Aid Agency	https://www.gov.uk/government/organisations/legal-aid-agency	Executive agency	https://www.gov.uk/api/organisations/ministry-of-justice				LAA		
legal-aid-board	Legal Aid Board	https://www.gov.uk/government/organisations/legal-aid-board	Other							2000
legal-services-board	Legal Services Board	https://www.gov.uk/government/organisations/legal-services-board	Executive non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				LSB		
legal-services-commission	Legal Services Commission	https://www.gov.uk/government/organisations/legal-services-commission	Executive agency	https://www.gov.uk/api/organisations/ministry-of-justice						01-04-2013
leigh-park-education-action-zone	Leigh Park Education Action Zone	https://www.gov.uk/government/organisations/leigh-park-education-action-zone	Other							09-01-2005
leitch-review-of-skills	Leitch Review of Skills	https://www.gov.uk/government/organisations/leitch-review-of-skills	Other							12-2006
leveson-inquiry	Leveson Inquiry	https://www.gov.uk/government/organisations/leveson-inquiry	Other							2012
life-sentence-review-commissioners	Life Sentence Review Commissioners	https://www.gov.uk/government/organisations/life-sentence-review-commissioners	Other							
livestock-and-meat-commission-for-northern-ireland	Livestock and Meat Commission for Northern Ireland	https://www.gov.uk/government/organisations/livestock-and-meat-commission-for-northern-Ireland	Other							
local-better-regulation-office	Local Better Regulation Office	https://www.gov.uk/government/organisations/local-better-regulation-office	Other							01-04-2012
local-government-ombudsman	Local Government Ombudsman	https://www.gov.uk/government/organisations/local-government-ombudsman	Other	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				LGO		
london-and-continental-railways-ltd	London and Continental Railways Ltd	https://www.gov.uk/government/organisations/london-and-continental-railways-ltd	Public corporation	https://www.gov.uk/api/organisations/department-for-transport				LCR		
london-thames-gateway-development-corporation	London Thames Gateway Development Corporation	https://www.gov.uk/government/organisations/london-thames-gateway-development-corporation	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				LTGDC		28-02-2013
lord-chancellors-department	Lord Chancellor's Department	https://www.gov.uk/government/organisations/lord-chancellors-department	Ministerial department							12-06-2003
loughs-agency	Loughs Agency	https://www.gov.uk/government/organisations/loughs-agency	Other							
low-pay-commission	Low Pay Commission	https://www.gov.uk/government/organisations/low-pay-commission	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				LPC		
lyons-inquiry-into-local-government	Lyons Inquiry into Local Government	https://www.gov.uk/government/organisations/lyons-inquiry-into-local-government	Other							03-2007
macur-review	Macur Review	https://www.gov.uk/government/organisations/macur-review	Other							
marine-accident-investigation-branch	Marine Accident Investigation Branch	https://www.gov.uk/government/organisations/marine-accident-investigation-branch	Other	https://www.gov.uk/api/organisations/department-for-transport				MAIB		
marine-fisheries-agency	Marine Fisheries Agency	https://www.gov.uk/government/organisations/marine-fisheries-agency	Executive agency							01-04-2010
marine-management-organisation	Marine Management Organisation	https://www.gov.uk/government/organisations/marine-management-organisation	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				MMO		
maritime-and-coastguard-agency	Maritime and Coastguard Agency	https://www.gov.uk/government/organisations/maritime-and-coastguard-agency	Executive agency	https://www.gov.uk/api/organisations/department-for-transport				MCA		
marshall-aid-commemoration-commission	Marshall Aid Commemoration Commission	https://www.gov.uk/government/organisations/marshall-aid-commemoration-commission	Executive non-departmental public body	https://www.gov.uk/api/organisations/foreign-commonwealth-office				MACC		
mckay-commission	The McKay Commission	https://www.gov.uk/government/organisations/mckay-commission	Other	https://www.gov.uk/api/organisations/cabinet-office				TMC		25 March 2013
meat-and-livestock-commission	Meat and Livestock Commission	https://www.gov.uk/government/organisations/meat-and-livestock-commission	Independent monitoring body							01-04-2008
meat-hygiene-service	Meat Hygiene Service	https://www.gov.uk/government/organisations/meat-hygiene-service	Executive agency							31-03-2010
medical-research-council	Medical Research Council	https://www.gov.uk/government/organisations/medical-research-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				MRC		
medical-supplies-agency	Medical Supplies Agency	https://www.gov.uk/government/organisations/medical-supplies-agency	Executive agency							01-04-2005
medicines-and-healthcare-products-regulatory-agency	Medicines and Healthcare products Regulatory Agency	https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency	Executive agency	https://www.gov.uk/api/organisations/department-of-health				MHRA		
mental-health-act-commission	Mental Health Act Commission	https://www.gov.uk/government/organisations/mental-health-act-commission	Other							01-04-2009
mercantile-court	Mercantile Court	https://www.gov.uk/courts-tribunals/mercantile-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
met-office	Met Office	https://www.gov.uk/government/organisations/met-office	Executive agency	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy						
mid-staffordshire-nhs-foundation-trust-public-inquiry	Mid Staffordshire NHS Foundation Trust Public Inquiry 2013	https://www.gov.uk/government/organisations/mid-staffordshire-nhs-foundation-trust-public-inquiry	Other							Feb 2013
mid-staffordshire-nhs-foundation-trust-public-inquiry-2010	Mid Staffordshire NHS Foundation Trust Public Inquiry 2010	https://www.gov.uk/government/organisations/mid-staffordshire-nhs-foundation-trust-public-inquiry-2010	Other							Feb 2010
migration-advisory-committee	Migration Advisory Committee	https://www.gov.uk/government/organisations/migration-advisory-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/home-office				MAC		
military-aviation-authority	Military Aviation Authority	https://www.gov.uk/government/organisations/military-aviation-authority	Sub-organisation	https://www.gov.uk/api/organisations/ministry-of-defence				MAA		
milk-development-council	Milk Development Council	https://www.gov.uk/government/organisations/milk-development-council	Other							01-04-2008
millennium-commission	Millennium Commission	https://www.gov.uk/government/organisations/millennium-commission	Other							30-11-2006
ministry-of-defence	Ministry of Defence	https://www.gov.uk/government/organisations/ministry-of-defence	Ministerial department			mod_crest	#4d2942	MOD		
ministry-of-defence-police-and-guarding-agency	Ministry of Defence Police and Guarding Agency	https://www.gov.uk/government/organisations/ministry-of-defence-police-and-guarding-agency	Executive agency							01-04-2013
ministry-of-justice	Ministry of Justice	https://www.gov.uk/government/organisations/ministry-of-justice	Ministerial department			org-crest	#231f20	MOJ		
monitor	Monitor	https://www.gov.uk/government/organisations/monitor	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				Monitor		01-04-2016
monopolies-and-mergers-commission	Monopolies and Mergers Commission	https://www.gov.uk/government/organisations/monopolies-and-mergers-commission	Other							01-04-1999
morecambe-bay-investigation	Morecambe Bay Investigation	https://www.gov.uk/government/organisations/morecambe-bay-investigation	Other	https://www.gov.uk/api/organisations/department-of-health						
mull-of-kintyre-review	Mull of Kintyre Review	https://www.gov.uk/government/organisations/mull-of-kintyre-review	Other							2011
museums-libraries-and-archives-council	"Museums, Libraries and Archives Council"	https://www.gov.uk/government/organisations/museums-libraries-and-archives-council	Other							31-05-2012
national-army-museum	National Army Museum	https://www.gov.uk/government/organisations/national-army-museum	Executive non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				NAM		
national-biological-standards-board	National Biological Standards Board	https://www.gov.uk/government/organisations/national-biological-standards-board	Executive agency							07-2008
national-blood-authority	National Blood Authority	https://www.gov.uk/government/organisations/national-blood-authority	Other							30-09-2005
national-care-standards-commission	National Care Standards Commission	https://www.gov.uk/government/organisations/national-care-standards-commission	Other							01-04-2004
national-college-for-school-leadership	National College for School Leadership	https://www.gov.uk/government/organisations/national-college-for-school-leadership	Executive agency	https://www.gov.uk/api/organisations/department-for-education				NCSL		
national-college-for-teaching-and-leadership	National College for Teaching and Leadership	https://www.gov.uk/government/organisations/national-college-for-teaching-and-leadership	Executive agency	https://www.gov.uk/api/organisations/department-for-education				NCTL		
national-counter-terrorism-security-office	National Counter Terrorism Security Office	https://www.gov.uk/government/organisations/national-counter-terrorism-security-office	Other	https://www.gov.uk/api/organisations/home-office				NaCTSO		
national-crime-agency	National Crime Agency	https://www.gov.uk/government/organisations/national-crime-agency	Non-ministerial department					NCA		
national-crime-agency-remuneration-review-body	National Crime Agency Remuneration Review Body	https://www.gov.uk/government/organisations/national-crime-agency-remuneration-review-body	Other	https://www.gov.uk/api/organisations/home-office				NCARRB		
national-crime-squad	National Crime Squad	https://www.gov.uk/government/organisations/national-crime-squad	Other							01-04-2006
national-criminal-intelligence-service	National Criminal Intelligence Service	https://www.gov.uk/government/organisations/national-criminal-intelligence-service	Executive agency							01-04-2006
national-data-guardian	National Data Guardian	https://www.gov.uk/government/organisations/national-data-guardian	Other	https://www.gov.uk/api/organisations/department-of-health				NDG		
national-dna-database-ethics-group	National DNA Database Ethics Group	https://www.gov.uk/government/organisations/national-dna-database-ethics-group	Advisory non-departmental public body	https://www.gov.uk/api/organisations/home-office				NDNAD		
national-employer-advisory-board	National Employer Advisory Board	https://www.gov.uk/government/organisations/national-employer-advisory-board	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				NEAB		
national-employment-savings-trust	National Employment Savings Trust (NEST) Corporation	https://www.gov.uk/government/organisations/national-employment-savings-trust	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-work-pensions				NEST Corporation		
national-endowment-for-science-technology-and-the-arts	"National Endowment for Science, Technology and the Arts"	https://www.gov.uk/government/organisations/national-endowment-for-science-technology-and-the-arts	Other							independant
national-forest-company	National Forest Company	https://www.gov.uk/government/organisations/national-forest-company	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				NFC		
national-fraud-authority	National Fraud Authority	https://www.gov.uk/government/organisations/national-fraud-authority	Executive agency	https://www.gov.uk/api/organisations/home-office				NFA		31-03-2014
national-gallery	National Gallery	https://www.gov.uk/government/organisations/national-gallery	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport						
national-heritage-memorial-fund	National Heritage Memorial Fund	https://www.gov.uk/government/organisations/national-heritage-memorial-fund	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				NHMF		
national-information-board	National Information Board	https://www.gov.uk/government/organisations/national-information-board	Other	https://www.gov.uk/api/organisations/department-of-health				NIB		
national-infrastructure-commission	National Infrastructure Commission	https://www.gov.uk/government/organisations/national-infrastructure-commission	Other	https://www.gov.uk/api/organisations/hm-treasury						
national-institute-for-clinical-excellence	National Institute for Health and Care Excellence	https://www.gov.uk/government/organisations/national-institute-for-clinical-excellence	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				NICE		
national-measurement-and-regulation-office	National Measurement and Regulation Office	https://www.gov.uk/government/organisations/national-measurement-and-regulation-office	Executive agency	https://www.gov.uk/api/organisations/department-for-business-innovation-skills;https://www.gov.uk/api/organisations/better-regulation-delivery-office				NMRO		
national-measurement-office	National Measurement Office	https://www.gov.uk/government/organisations/national-measurement-office	Executive agency	https://www.gov.uk/api/organisations/department-for-business-innovation-skills				NMO		closed
national-museums-and-galleries-of-northern-ireland	National Museums and Galleries of Northern Ireland	https://www.gov.uk/government/organisations/national-museums-and-galleries-of-northern-Ireland	Other							
national-museums-liverpool	National Museums Liverpool	https://www.gov.uk/government/organisations/national-museums-liverpool	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				NML		
national-museums-of-scotland	National Museums of Scotland	https://www.gov.uk/government/organisations/national-museums-of-Scotland	Other							
national-offender-management-service	National Offender Management Service	https://www.gov.uk/government/organisations/national-offender-management-service	Executive agency	https://www.gov.uk/api/organisations/ministry-of-justice				NOMS		
national-patient-safety-agency	National Patient Safety Agency	https://www.gov.uk/government/organisations/national-patient-safety-agency	Executive agency							09-07-2012
national-policing-improvement-agency	National Policing Improvement Agency	https://www.gov.uk/government/organisations/national-policing-improvement-agency	Executive agency							12-2012
national-portrait-gallery	National Portrait Gallery	https://www.gov.uk/government/organisations/national-portrait-gallery	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				NPG		
national-probation-service	National Probation Service	https://www.gov.uk/government/organisations/national-probation-service	Other	https://www.gov.uk/api/organisations/national-offender-management-service				NPS		
national-radiological-protection-board	National Radiological Protection Board	https://www.gov.uk/government/organisations/national-radiological-protection-board	Other							01-04-2005
national-records-of-scotland	National Records of Scotland	https://www.gov.uk/government/organisations/national-records-of-Scotland	Other					National Records of Scotland		
national-school-of-government	National School of Government	https://www.gov.uk/government/organisations/national-school-of-government	Other							
national-security	National security and intelligence	https://www.gov.uk/government/organisations/national-security	Sub-organisation	https://www.gov.uk/api/organisations/cabinet-office						
national-treatment-agency-for-substance-misuse	National Treatment Agency for Substance Misuse	https://www.gov.uk/government/organisations/national-treatment-agency-for-substance-misuse	Executive agency							01-04-2013
national-weights-and-measures-laboratory	National Weights and Measures Laboratory	https://www.gov.uk/government/organisations/national-weights-and-measures-laboratory	Other							28-06-2007
natural-england	Natural England	https://www.gov.uk/government/organisations/natural-england	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				Natural England		
natural-environment-research-council	Natural Environment Research Council	https://www.gov.uk/government/organisations/natural-environment-research-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				NERC		
natural-history-museum	Natural History Museum	https://www.gov.uk/government/organisations/natural-history-museum	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				NHM		
natural-resources-institute	Natural Resources Institute	https://www.gov.uk/government/organisations/natural-resources-institute	Other							May 1996
natural-resources-wales	Natural Resources Wales	https://www.gov.uk/government/organisations/natural-resources-wales	Other	https://www.gov.uk/api/organisations/welsh-government						
nature-conservancy-council	Nature Conservancy Council	https://www.gov.uk/government/organisations/nature-conservancy-council	Other							1991
new-forest-national-park-authority	New Forest National Park Authority	https://www.gov.uk/government/organisations/new-forest-national-park-authority	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				NFNPA		
new-opportunities-fund	New Opportunities Fund	https://www.gov.uk/government/organisations/new-opportunities-fund	Other							30-11-2006
nhs-appointments-commission	NHS Appointments Commission	https://www.gov.uk/government/organisations/nhs-appointments-commission	Other							31-10-2012
nhs-blood-and-transplant	NHS Blood and Transplant	https://www.gov.uk/government/organisations/nhs-blood-and-transplant	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				NHSBT		
nhs-business-services-authority	NHS Business Services Authority	https://www.gov.uk/government/organisations/nhs-business-services-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				NHSBSA		
nhs-commissioning-board	NHS England	https://www.gov.uk/government/organisations/nhs-commissioning-board	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health						
nhs-digital	NHS Digital	https://www.gov.uk/government/organisations/nhs-digital	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health						
nhs-direct-national-health-service-trust	NHS Direct National Health Service Trust	https://www.gov.uk/government/organisations/nhs-direct-national-health-service-trust	Other							find
nhs-estates	NHS Estates	https://www.gov.uk/government/organisations/nhs-estates	Other							30-09-2005
nhs-improvement	NHS Improvement	https://www.gov.uk/government/organisations/nhs-improvement	Other	https://www.gov.uk/api/organisations/department-of-health						
nhs-information-centre	NHS Information Centre	https://www.gov.uk/government/organisations/nhs-information-centre	Other							01-04-2013
nhs-institute-for-innovation-and-improvement	NHS Institute for Innovation and Improvement	https://www.gov.uk/government/organisations/nhs-institute-for-innovation-and-improvement	Other							31-03-2013
nhs-litigation-authority	NHS Litigation Authority	https://www.gov.uk/government/organisations/nhs-litigation-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				NHSLA		
nhs-logistics-authority	NHS Logistics Authority	https://www.gov.uk/government/organisations/nhs-logistics-authority	Other							01-01-2006
nhs-pay-review-body	NHS Pay Review Body	https://www.gov.uk/government/organisations/nhs-pay-review-body	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				NHSPRB		
nhs-pensions-agency	NHS Pensions Agency	https://www.gov.uk/government/organisations/nhs-pensions-agency	Executive agency							01-04-2006
nhs-professionals	NHS Professionals	https://www.gov.uk/government/organisations/nhs-professionals	Other							01-04-2010
nhs-purchasing-and-supply-agency	NHS Purchasing and Supply Agency	https://www.gov.uk/government/organisations/nhs-purchasing-and-supply-agency	Executive agency							31-03-2010
nhs-trust-development-authority	NHS Trust Development Authority	https://www.gov.uk/government/organisations/nhs-trust-development-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				NHS TDA		
nhs-wales-informatics-service	NHS Wales Informatics Service	https://www.gov.uk/government/organisations/nhs-wales-informatics-service	Other							
nimrod-review	Nimrod Review	https://www.gov.uk/government/organisations/nimrod-review	Other							10-2009
north-east-derbyshire-coalfields-education-action-zone	North East Derbyshire Coalfields Education Action Zone	https://www.gov.uk/government/organisations/north-east-derbyshire-coalfields-education-action-zone	Other							30-11-2004
north-east-education-and-library-board	North East Education and Library Board	https://www.gov.uk/government/organisations/north-east-education-and-library-board	Other							
north-gillingham-education-action-zone	North Gillingham Education Action Zone	https://www.gov.uk/government/organisations/north-gillingham-education-action-zone	Other							09-01-2005
north-islington-education-action-zone	North Islington Education Action Zone	https://www.gov.uk/government/organisations/north-islington-education-action-zone	Other							30-11-2004
north-stockton-education-action-zone	North Stockton Education Action Zone	https://www.gov.uk/government/organisations/north-stockton-education-action-zone	Other							16-04-2005
north-west-development-agency	North West Development Agency	https://www.gov.uk/government/organisations/north-west-development-agency	Executive agency							31-03-2012
north-west-shropshire-education-action-zone	North West Shropshire Education Action Zone	https://www.gov.uk/government/organisations/north-west-shropshire-education-action-zone	Other							02-04-2005
north-york-moors-national-park	North York Moors National Park Authority	https://www.gov.uk/government/organisations/north-york-moors-national-park	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs				NYMNP		
northampton-county-court-business-centre	Northampton County Court Business Centre	https://www.gov.uk/courts-tribunals/northampton-county-court-business-centre	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
northern-health-and-social-services-board	Northern Health and Social Services Board	https://www.gov.uk/government/organisations/northern-health-and-social-services-board	Other							closed
northern-ireland-audit-office	Northern Ireland Audit Office	https://www.gov.uk/government/organisations/northern-Ireland-audit-office	Other	https://www.gov.uk/api/organisations/northern-ireland-executive						
northern-ireland-authority-for-energy-regulation	Northern Ireland Authority for Energy Regulation	https://www.gov.uk/government/organisations/northern-Ireland-authority-for-energy-regulation	Other							
northern-ireland-child-support-agency	Northern Ireland Child Support Agency	https://www.gov.uk/government/organisations/northern-Ireland-child-support-agency	Executive agency							
northern-ireland-commissioner-for-children-and-young-people	Northern Ireland Commissioner for Children and Young People	https://www.gov.uk/government/organisations/northern-Ireland-commissioner-for-children-and-young-people	Other							
northern-ireland-council-for-the-curriculum-examinations-and-assessment	"Northern Ireland Council for the Curriculum, Examinations and Assessment"	https://www.gov.uk/government/organisations/northern-Ireland-council-for-the-curriculum-examinations-and-assessment	Other							
northern-ireland-court-service	Northern Ireland Court Service	https://www.gov.uk/government/organisations/northern-Ireland-court-service	Other	https://www.gov.uk/api/organisations/department-of-justice-northern-ireland						
northern-ireland-executive	Northern Ireland Executive	https://www.gov.uk/government/organisations/northern-Ireland-executive	Devolved administration							
northern-ireland-health-and-social-services-estates-agency	Northern Ireland Health and Social Services Estates Agency	https://www.gov.uk/government/organisations/northern-Ireland-health-and-social-services-estates-agency	Other							
northern-ireland-human-rights-commission	Northern Ireland Human Rights Commission	https://www.gov.uk/government/organisations/northern-Ireland-human-rights-commission	Executive non-departmental public body	https://www.gov.uk/api/organisations/northern-ireland-office				NIHRC		
northern-ireland-judicial-appointments-commission	Northern Ireland Judicial Appointments Commission	https://www.gov.uk/government/organisations/northern-Ireland-judicial-appointments-commission	Other							
northern-ireland-judicial-appointments-ombudsman	Northern Ireland Judicial Appointments Ombudsman	https://www.gov.uk/government/organisations/northern-Ireland-judicial-appointments-ombudsman	Other							
northern-ireland-law-commission	Northern Ireland Law Commission	https://www.gov.uk/government/organisations/northern-Ireland-law-commission	Other							
northern-ireland-legal-services-commission	Northern Ireland Legal Services Commission	https://www.gov.uk/government/organisations/northern-Ireland-legal-services-commission	Other							
northern-ireland-local-government-officers-superannuation-committee	Northern Ireland Local Government Officers' Superannuation Committee	https://www.gov.uk/government/organisations/northern-Ireland-local-government-officers-superannuation-committee	Other							
northern-ireland-office	Northern Ireland Office	https://www.gov.uk/government/organisations/northern-Ireland-office	Ministerial department			org-crest	#002663	NIO		
northern-ireland-ombudsman	Northern Ireland Ombudsman	https://www.gov.uk/government/organisations/northern-Ireland-ombudsman	Other							
northern-ireland-police-fund	Northern Ireland Police Fund	https://www.gov.uk/government/organisations/northern-Ireland-police-fund	Other							12-04-2010
northern-ireland-policing-board	Northern Ireland Policing Board	https://www.gov.uk/government/organisations/northern-Ireland-policing-board	Other							
northern-ireland-practice-and-education-council	Northern Ireland Practice and Education Council	https://www.gov.uk/government/organisations/northern-Ireland-practice-and-education-council	Other							
northern-ireland-prison-service	Northern Ireland Prison Service	https://www.gov.uk/government/organisations/northern-Ireland-prison-service	Executive agency							
northern-ireland-social-care-council	Northern Ireland Social Care Council	http://www.niscc.info/	Other							
northern-ireland-social-security-agency	Northern Ireland Social Security Agency	https://www.gov.uk/government/organisations/northern-Ireland-social-security-agency	Executive agency							
northern-ireland-statistics-and-research-agency	Northern Ireland Statistics and Research Agency	https://www.gov.uk/government/organisations/northern-Ireland-statistics-and-research-agency	Executive agency					NISRA		
northern-ireland-tourist-board	Northern Ireland Tourist Board	https://www.gov.uk/government/organisations/northern-Ireland-tourist-board	Other							
northern-lighthouse-board	Northern Lighthouse Board	https://www.gov.uk/government/organisations/northern-lighthouse-board	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-transport				NLB		
northumberland-national-park-authority	Northumberland National Park Authority	https://www.gov.uk/government/organisations/Northumberland-national-park-authority	Other	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs						
northwest-business-link	Northwest Business Link	https://www.gov.uk/government/organisations/northwest-business-link	Executive agency							23/01/2014
northwest-regional-development-agency	Northwest Regional Development Agency	https://www.gov.uk/government/organisations/northwest-regional-development-agency	Executive agency							01-07-2012
ns-i	NS&I	https://www.gov.uk/government/organisations/ns-i	Non-ministerial department	https://www.gov.uk/api/organisations/hm-treasury				NS&I		
nuclear-decommissioning-authority	Nuclear Decommissioning Authority	https://www.gov.uk/government/organisations/nuclear-decommissioning-authority	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				NDA		
nuclear-liabilities-financing-assurance-board	Nuclear Liabilities Financing Assurance Board	https://www.gov.uk/government/organisations/nuclear-liabilities-financing-assurance-board	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				NLFAB		
nuclear-research-advisory-council	Nuclear Research Advisory Council	https://www.gov.uk/government/organisations/nuclear-research-advisory-council	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-defence				NRAC		
ofcom	Ofcom	https://www.gov.uk/government/organisations/ofcom	Other	https://www.gov.uk/api/organisations/department-for-culture-media-sport				Ofcom		
office-for-budget-responsibility	Office for Budget Responsibility	https://www.gov.uk/government/organisations/office-for-budget-responsibility	Executive non-departmental public body	https://www.gov.uk/api/organisations/hm-treasury				OBR		
office-for-criminal-justice-reform	Office for Criminal Justice Reform	https://www.gov.uk/government/organisations/office-for-criminal-justice-reform	Other							closed
office-for-disability-issues	Office for Disability Issues	https://www.gov.uk/government/organisations/office-for-disability-issues	Sub-organisation	https://www.gov.uk/api/organisations/department-for-work-pensions				ODI		closed
office-for-fair-access	Office for Fair Access	https://www.gov.uk/government/organisations/office-for-fair-access	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-education				OFFA		
office-for-life-sciences	Office for Life Sciences	https://www.gov.uk/government/organisations/office-for-life-sciences	Sub-organisation	https://www.gov.uk/api/organisations/department-of-health;https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				OLS		
office-for-low-emission-vehicles	Office for Low Emission Vehicles	https://www.gov.uk/government/organisations/office-for-low-emission-vehicles	Sub-organisation	https://www.gov.uk/api/organisations/department-for-transport;https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				OLEV		
office-for-national-statistics	Office for National Statistics	https://www.gov.uk/government/organisations/office-for-national-statistics	Other	https://www.gov.uk/api/organisations/uk-statistics-authority				ONS		
office-for-nuclear-regulation	Office for Nuclear Regulation	https://www.gov.uk/government/organisations/office-for-nuclear-regulation	Public corporation	https://www.gov.uk/api/organisations/department-for-work-pensions				ONR		
office-for-tenants-and-social-landlords	Office for Tenants and Social Landlords	https://www.gov.uk/government/organisations/office-for-tenants-and-social-landlords	Executive agency							2012
office-of-fair-trading	Office of Fair Trading	https://www.gov.uk/government/organisations/office-of-fair-trading	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-business-innovation-skills				OFT		01-04-2014
office-of-financial-sanctions-implementation	Office of Financial Sanctions Implementation	https://www.gov.uk/government/organisations/office-of-financial-sanctions-implementation	Sub-organisation	https://www.gov.uk/api/organisations/hm-treasury				OFSI		
office-of-hm-paymaster-general	Office of HM Paymaster General	https://www.gov.uk/government/organisations/office-of-hm-paymaster-general	Other							01-04-2008
office-of-manpower-economics	Office of Manpower Economics	https://www.gov.uk/government/organisations/office-of-manpower-economics	Other	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				OME		
office-of-rail-and-road	Office of Rail and Road	https://www.gov.uk/government/organisations/office-of-rail-and-road	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-transport				ORR		
office-of-rail-regulation	Office of Rail Regulation	https://www.gov.uk/government/organisations/office-of-rail-regulation	Non-ministerial department	https://www.gov.uk/api/organisations/department-for-transport				ORR		
office-of-surveillance-commissioners	Office of Surveillance Commissioners	https://www.gov.uk/government/organisations/office-of-surveillance-commissioners	Tribunal non-departmental public body	https://www.gov.uk/api/organisations/home-office				OSC		
office-of-tax-simplification	Office of Tax Simplification	https://www.gov.uk/government/organisations/office-of-tax-simplification	Sub-organisation	https://www.gov.uk/api/organisations/hm-treasury				OTS		
office-of-telecommunications	Office of Telecommunications	https://www.gov.uk/government/organisations/office-of-telecommunications	Other							29-12-2003
office-of-the-advocate-general-for-scotland	Office of the Advocate General for Scotland	https://www.gov.uk/government/organisations/office-of-the-advocate-general-for-Scotland	Ministerial department			scotland-office-crest	#002663	OAG		
