government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
attorney-generals-office	Attorney General's Office	https://www.gov.uk/government/organisations/attorney-generals-office	Ministerial department			org-crest	#9f1888	AGO		
audit-commission	Audit Commission	https://www.gov.uk/government/organisations/audit-commission	Public corporation	https://www.gov.uk/api/organisations/department-for-communities-and-local-government				Audit Commission		31-03-2015
azelle-rodney-inquiry	Azelle Rodney Inquiry	https://www.gov.uk/government/organisations/azelle-rodney-inquiry	Other							
baha-mousa-inquiry	Baha Mousa Inquiry	https://www.gov.uk/government/organisations/baha-mousa-inquiry	Other							
bank-of-england	Bank of England	https://www.gov.uk/government/organisations/bank-of-england	Other	https://www.gov.uk/api/organisations/treasury-solicitor-s-department						
bankruptcy-court	Bankruptcy Court	https://www.gov.uk/courts-tribunals/bankruptcy-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
barker-review-of-land-use-planning	Barker Review of Land Use Planning	https://www.gov.uk/government/organisations/barker-review-of-land-use-planning	Other							
barrow-education-action-zone	Barrow Education Action Zone	https://www.gov.uk/government/organisations/barrow-education-action-zone	Other							
bbc	BBC	https://www.gov.uk/government/organisations/bbc	Public corporation	https://www.gov.uk/api/organisations/department-for-culture-media-sport				BBC		
bbc-world-service	BBC World Service	https://www.gov.uk/government/organisations/bbc-world-service	Public corporation	https://www.gov.uk/api/organisations/foreign-commonwealth-office				BBCWS		
bedford-education-action-zone	Bedford Education Action Zone	https://www.gov.uk/government/organisations/bedford-education-action-zone	Other							
behavioural-insights-team	Behavioural Insights Team	https://www.gov.uk/government/organisations/behavioural-insights-team	Other					BIT		05-02-2014
better-regulation-delivery-office	Better Regulation Delivery Office	https://www.gov.uk/government/organisations/better-regulation-delivery-office	Other	https://www.gov.uk/api/organisations/department-for-business-innovation-skills				BRDO		
big-lottery-fund	Big Lottery Fund	https://www.gov.uk/government/organisations/big-lottery-fund	Executive non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office				BIG		
billy-wright-inquiry	Billy Wright Inquiry	https://www.gov.uk/government/organisations/billy-wright-inquiry	Other							
biometrics-commissioner	Biometrics Commissioner	https://www.gov.uk/government/organisations/biometrics-commissioner	Other	https://www.gov.uk/api/organisations/home-office						
biotechnology-biological-sciences-research-council	Biotechnology and Biological Sciences Research Council	https://www.gov.uk/government/organisations/biotechnology-biological-sciences-research-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				BBSRC		
bloody-sunday-inquiry	Bloody Sunday Inquiry	https://www.gov.uk/government/organisations/bloody-sunday-inquiry	Other							
board-of-banking-supervision	Board of Banking Supervision	https://www.gov.uk/government/organisations/board-of-banking-supervision	Other							
board-of-inland-revenue	Board of Inland Revenue	https://www.gov.uk/government/organisations/board-of-inland-revenue	Other							
board-of-trustees-of-the-royal-botanic-gardens-kew	Board of Trustees of the Royal Botanic Gardens Kew	https://www.gov.uk/government/organisations/board-of-trustees-of-the-royal-botanic-gardens-kew	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-environment-food-rural-affairs						
bolton-education-action-zone	Bolton Education Action Zone	https://www.gov.uk/government/organisations/bolton-education-action-zone	Other							
bona-vacantia	Bona Vacantia	https://www.gov.uk/government/organisations/bona-vacantia	Sub-organisation	https://www.gov.uk/api/organisations/government-legal-department				BVD		
border-force	Border Force	https://www.gov.uk/government/organisations/border-force	Sub-organisation	https://www.gov.uk/api/organisations/home-office				BF		
boundary-commission-for-england	Boundary Commission for England	https://www.gov.uk/government/organisations/boundary-commission-for-england	Advisory non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office				BCE		
boundary-commission-for-northern-ireland	Boundary Commission for Northern Ireland	https://www.gov.uk/government/organisations/boundary-commission-for-northern-Ireland	Advisory non-departmental public body	https://www.gov.uk/api/organisations/northern-ireland-office				BCNI		
boundary-commission-for-scotland	Boundary Commission for Scotland	https://www.gov.uk/government/organisations/boundary-commission-for-Scotland	Advisory non-departmental public body	https://www.gov.uk/api/organisations/scotland-office				BCS		
boundary-commission-for-wales	Boundary Commission for Wales	https://www.gov.uk/government/organisations/boundary-commission-for-wales	Advisory non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office				BCW		
brb-residuary-ltd	BRB (Residuary) Ltd	https://www.gov.uk/government/organisations/brb-residuary-ltd	Public corporation	https://www.gov.uk/api/organisations/department-for-transport				BRBR		
bridgwater-education-action-zone	Bridgwater Education Action Zone	https://www.gov.uk/government/organisations/bridgwater-education-action-zone	Other							
bristol-education-action-zone	Bristol Education Action Zone	https://www.gov.uk/government/organisations/bristol-education-action-zone	Other							
british-business-bank	British Business Bank	https://www.gov.uk/government/organisations/british-business-bank	Other	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				BBB		
british-cattle-movement-service	British Cattle Movement Service	https://www.gov.uk/government/organisations/british-cattle-movement-service	Sub-organisation	https://www.gov.uk/api/organisations/rural-payments-agency				BCMS		
british-council	British Council	https://www.gov.uk/government/organisations/british-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/foreign-commonwealth-office				British Council		
british-educational-communications-and-technology-agency	British Educational Communications and Technology Agency	https://www.gov.uk/government/organisations/british-educational-communications-and-technology-agency	Executive agency					Becta		31-03-2011
british-film-institute	British Film Institute	https://www.gov.uk/government/organisations/british-film-institute	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				BFI		
british-forces-post-office	British Forces Post Office	https://www.gov.uk/government/organisations/british-forces-post-office	Other							
british-hallmarking-council	British Hallmarking Council	https://www.gov.uk/government/organisations/british-hallmarking-council	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				BHC		
british-library	British Library	https://www.gov.uk/government/organisations/british-library	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-culture-media-sport				BL		
